#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         315    -7.42778    -7.55177  0.00777594
         316    -7.43052    -7.55138  0.00776079
         317    -7.44021    -7.55103  0.00774423
         318    -7.54975    -7.55103  0.00771988
         319    -7.55246    -7.55103  0.00769568
         320      -7.489    -7.55084  0.00767407
         321    -7.43553    -7.55048  0.00765857
         322    -7.48001    -7.55026  0.00763791
         323    -7.54403    -7.55024  0.00761429
         324    -7.57018     -7.5503  0.00759104
         325    -7.57156    -7.55037  0.00756796
         326    -7.53884    -7.55033  0.00754483
         327    -7.64962    -7.55064  0.00752786
         328    -7.65925    -7.55097  0.00751219
         329    -7.64633    -7.55126  0.00749495
         330    -7.69076    -7.55168  0.00748415
         331    -7.76461    -7.55232  0.00748914
         332     -7.7437     -7.5529  0.00748873
         333    -7.78123    -7.55358  0.00749756
         334    -7.81272    -7.55436  0.00751515
         335    -7.77476    -7.55502  0.00752146
         336    -7.68497     -7.5554  0.00750901
         337    -7.73582    -7.55594  0.00750579
         338    -7.70697    -7.55639  0.00749688
         339    -7.69968    -7.55681  0.00748667
         340    -7.70289    -7.55724  0.00747697
         341    -7.65277    -7.55752  0.00746029
         342    -7.61928     -7.5577  0.00744066
         343    -7.61353    -7.55786  0.00742074
         344    -7.63098    -7.55808  0.00740222
         345    -7.62415    -7.55827  0.00738324
         346    -7.62913    -7.55847  0.00736474
         347     -7.7026    -7.55889  0.00735522
         348    -7.63611    -7.55911  0.00733743
         349    -7.61098    -7.55926  0.00731791
         350    -7.58616    -7.55933  0.00729741
         351    -7.51754    -7.55922  0.00727759
         352     -7.4879    -7.55901  0.00725973
         353    -7.52168    -7.55891  0.00723994
         354    -7.48687     -7.5587  0.00722234
         355    -7.47271    -7.55846  0.00720606
         356     -7.5026     -7.5583  0.00718753
         357    -7.52552    -7.55821  0.00716798
         358    -7.49828    -7.55805  0.00714991
         359    -7.43025    -7.55769  0.00713885
         360    -7.42755    -7.55733  0.00712817
         361    -7.43016    -7.55698  0.00711712
         362    -7.46599    -7.55672   0.0071019
         363    -7.46175    -7.55646  0.00708715
         364    -7.53196     -7.5564    0.007068
         365     -7.5217     -7.5563  0.00704928
         366    -7.57678    -7.55636  0.00703024
         367     -7.5708     -7.5564  0.00701119
         368    -7.57219    -7.55644  0.00699227
         369     -7.5878    -7.55652  0.00697384
         370    -7.63007    -7.55672  0.00695782
         371    -7.57952    -7.55678  0.00693934
         372    -7.55258    -7.55677   0.0069207
         373    -7.59489    -7.55687   0.0069029
         374    -7.57101    -7.55691  0.00688454
         375    -7.57091    -7.55695  0.00686628
         376    -7.65117     -7.5572  0.00685259
         377     -7.6397    -7.55742  0.00683791
         378    -7.69218    -7.55778  0.00682911
         379    -7.65339    -7.55803  0.00681575
         380    -7.58543     -7.5581  0.00679819
         381    -7.51852      -7.558  0.00678115
         382    -7.58652    -7.55807   0.0067638
         383    -7.62359    -7.55824  0.00674831
         384    -7.58634    -7.55832  0.00673113
         385    -7.62825     -7.5585   0.0067161
         386    -7.56454    -7.55851  0.00669872
         387    -7.57431    -7.55855  0.00668153
         388    -7.53339    -7.55849  0.00666463
         389     -7.5572    -7.55849  0.00664749
         390    -7.53406    -7.55842  0.00663075
         391    -7.51149     -7.5583  0.00661487
         392    -7.60244    -7.55841  0.00659896
         393    -7.62514    -7.55858  0.00658435
         394    -7.68032    -7.55889  0.00657488
         395    -7.65474    -7.55914  0.00656271
         396    -7.62167    -7.55929  0.00654804
         397    -7.62012    -7.55945  0.00653334
         398    -7.65044    -7.55968  0.00652092
         399    -7.64742     -7.5599  0.00650829
         400     -7.6032       -7.56  0.00649292
         401    -7.60824    -7.56012  0.00647784
         402    -7.58046    -7.56018  0.00646192
         403    -7.47452    -7.55996  0.00644938
         404    -7.48842    -7.55979  0.00643585
         405    -7.56602     -7.5598  0.00641998
         406    -7.56334    -7.55981  0.00640417
         407    -7.51613     -7.5597  0.00638933
         408    -7.53683    -7.55965  0.00637392
         409    -7.55414    -7.55963  0.00635835
         410    -7.51984    -7.55954  0.00634358
         411    -7.47735    -7.55934   0.0063313
         412    -7.57012    -7.55936  0.00631599
         413    -7.58701    -7.55943  0.00630105
         414    -7.58692     -7.5595  0.00628618
         415    -7.59948    -7.55959  0.00627177
