#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         249    0.697413    0.802686   0.0224778
         250    0.696289     0.80226   0.0223919
         251    0.695145    0.801833   0.0223068
         252    0.693986    0.801405   0.0222224
         253    0.692816    0.800976   0.0221387
         254    0.691638    0.800546   0.0220557
         255    0.690455    0.800114   0.0219734
         256    0.689271    0.799681   0.0218919
         257    0.688092    0.799247    0.021811
         258    0.686921    0.798811   0.0217308
         259    0.685761    0.798375   0.0216513
         260    0.684614    0.797937   0.0215724
         261    0.683485    0.797499   0.0214942
         262    0.682376     0.79706   0.0214167
         263    0.681292    0.796619   0.0213398
         264    0.680236    0.796179   0.0212635
         265    0.679211    0.795737   0.0211878
         266    0.678221    0.795295   0.0211128
         267    0.677267    0.794853   0.0210383
         268    0.676352    0.794411   0.0209645
         269    0.675481    0.793969   0.0208912
         270    0.674654    0.793527   0.0208185
         271    0.673874    0.793086   0.0207464
         272    0.673144    0.792645   0.0206748
         273    0.672466    0.792204   0.0206037
         274    0.671841    0.791765   0.0205332
         275    0.671274    0.791327   0.0204632
         276    0.670763     0.79089   0.0203937
         277    0.670313    0.790455   0.0203248
         278    0.669923    0.790021   0.0202563
         279    0.669596     0.78959   0.0201883
         280    0.669332     0.78916   0.0201207
         281    0.669131    0.788733   0.0200537
         282    0.668994    0.788308   0.0199871
         283    0.668923    0.787887   0.0199209
         284    0.668917    0.787468   0.0198551
         285    0.668977    0.787052   0.0197898
         286    0.669103    0.786639   0.0197249
         287    0.669295    0.786231   0.0196604
         288    0.669553    0.785825   0.0195963
         289    0.669878    0.785424   0.0195326
         290    0.670268    0.785027   0.0194693
         291    0.670725    0.784634   0.0194064
         292    0.671246    0.784246   0.0193438
         293    0.671832    0.783862   0.0192816
         294    0.672482    0.783484   0.0192197
         295    0.673196     0.78311   0.0191582
         296    0.673972    0.782741    0.019097
         297     0.67481    0.782378   0.0190362
         298    0.675708     0.78202   0.0189757
         299    0.676664    0.781667   0.0189155
         300    0.677677    0.781321   0.0188556
         301    0.678745     0.78098   0.0187961
         302    0.679868    0.780645   0.0187368
         303    0.681043    0.780316   0.0186778
         304    0.682269    0.779994   0.0186192
         305    0.683544    0.779678   0.0185608
         306    0.684868    0.779368   0.0185028
         307    0.686237    0.779064    0.018445
         308    0.687651    0.778768   0.0183875
         309    0.689106    0.778477   0.0183303
         310      0.6906    0.778194   0.0182733
         311    0.692133    0.777917   0.0182167
         312    0.693702    0.777647   0.0181603
         313    0.695306    0.777384   0.0181042
         314    0.696942    0.777128   0.0180483
         315    0.698609    0.776879   0.0179927
         316    0.700304    0.776636   0.0179374
         317    0.702023    0.776401   0.0178824
         318    0.703766    0.776173   0.0178276
         319    0.705529    0.775951   0.0177731
         320     0.70731    0.775737   0.0177189
         321    0.709108    0.775529   0.0176649
         322    0.710919    0.775328   0.0176112
         323    0.712741    0.775135   0.0175577
         324    0.714573    0.774948   0.0175045
         325     0.71641    0.774768   0.0174516
         326    0.718251    0.774594   0.0173989
         327    0.720094    0.774428   0.0173465
         328    0.721935    0.774268   0.0172943
         329    0.723772    0.774114   0.0172425
         330    0.725604    0.773967   0.0171908
         331    0.727427    0.773827   0.0171395
         332    0.729238    0.773692   0.0170884
         333    0.731036    0.773564   0.0170375
         334    0.732818    0.773442    0.016987
         335    0.734582    0.773326   0.0169366
         336    0.736324    0.773216   0.0168866
         337     0.73804    0.773112   0.0168368
         338     0.73973    0.773013   0.0167873
         339     0.74139     0.77292    0.016738
         340    0.743017    0.772832    0.016689
         341     0.74461    0.772749   0.0166403
         342    0.746166    0.772671   0.0165918
         343    0.747682    0.772598   0.0165436
         344    0.749158     0.77253   0.0164957
         345     0.75059    0.772467    0.016448
         346    0.751976    0.772407   0.0164005
         347    0.753315    0.772352   0.0163534
         348    0.754602    0.772301   0.0163064
         349    0.755838    0.772254   0.0162598
         350     0.75702    0.772211   0.0162134
         351    0.758146    0.772171   0.0161673
         352    0.759216    0.772134   0.0161214
         353    0.760228      0.7721   0.0160757
         354    0.761181    0.772069   0.0160303
         355    0.762077    0.772041   0.0159852
         356    0.762912    0.772015   0.0159403
         357    0.763687    0.771992   0.0158957
         358      0.7644    0.771971   0.0158513
         359    0.765053    0.771952   0.0158072
         360    0.765646    0.771934   0.0157633
         361    0.766178    0.771918   0.0157196
         362    0.766651    0.771904   0.0156762
         363    0.767067     0.77189    0.015633
         364    0.767426    0.771878   0.0155901
         365    0.767731    0.771867   0.0155474
         366    0.767982    0.771856   0.0155049
         367    0.768182    0.771846   0.0154626
         368    0.768332    0.771836   0.0154206
         369    0.768435    0.771827   0.0153788
         370    0.768494    0.771818   0.0153373
         371    0.768512    0.771809   0.0152959
         372    0.768493      0.7718   0.0152548
         373    0.768439    0.771791   0.0152139
         374    0.768355    0.771782   0.0151733
         375    0.768243    0.771773   0.0151328
         376    0.768109    0.771763   0.0150926
         377    0.767956    0.771753   0.0150525
         378    0.767789    0.771742   0.0150127
         379    0.767613    0.771732   0.0149731
         380    0.767431     0.77172   0.0149337
         381    0.767248    0.771708   0.0148945
         382    0.767069    0.771696   0.0148555
         383    0.766899    0.771684   0.0148167
         384    0.766741    0.771671   0.0147782
         385    0.766602    0.771658   0.0147398
         386    0.766486    0.771644   0.0147016
         387    0.766397    0.771631   0.0146636
         388    0.766341    0.771617   0.0146258
         389    0.766321    0.771604   0.0145882
         390    0.766341     0.77159   0.0145508
         391    0.766405    0.771577   0.0145136
         392    0.766518    0.771564   0.0144766
         393    0.766683    0.771551   0.0144398
         394    0.766903     0.77154   0.0144031
         395    0.767181    0.771529   0.0143667
         396    0.767521    0.771519   0.0143304
         397    0.767923    0.771509   0.0142943
         398    0.768389    0.771502   0.0142584
         399    0.768922    0.771495   0.0142227
         400    0.769522     0.77149   0.0141871
         401    0.770191    0.771487   0.0141517
         402     0.77093    0.771486   0.0141165
         403    0.771739    0.771486   0.0140815
         404    0.772616    0.771489   0.0140466
         405     0.77356    0.771494    0.014012
         406    0.774571    0.771502   0.0139774
         407    0.775647    0.771512   0.0139431
         408    0.776788    0.771525   0.0139089
         409     0.77799    0.771541   0.0138749
         410    0.779252    0.771559   0.0138411
         411    0.780571    0.771581   0.0138075
         412    0.781943    0.771607    0.013774
         413    0.783366    0.771635   0.0137406
         414    0.784835    0.771667   0.0137075
         415    0.786347    0.771702   0.0136745
         416      0.7879    0.771741   0.0136417
         417     0.78949    0.771784    0.013609
         418    0.791113     0.77183   0.0135766
         419    0.792765     0.77188   0.0135443
         420    0.794442    0.771934   0.0135121
         421     0.79614    0.771991   0.0134801
         422    0.797855    0.772052   0.0134483
         423    0.799582    0.772118   0.0134167
         424    0.801318    0.772186   0.0133852
         425    0.803059    0.772259   0.0133539
         426    0.804804    0.772335   0.0133228
         427    0.806546    0.772416   0.0132918
         428    0.808283    0.772499   0.0132611
         429    0.810012    0.772587   0.0132304
         430    0.811729    0.772678      0.0132
         431    0.813431    0.772772   0.0131697
         432    0.815115     0.77287   0.0131396
         433    0.816779    0.772972   0.0131096
         434    0.818419    0.773077   0.0130798
         435    0.820034    0.773184   0.0130502
         436    0.821623    0.773296   0.0130207
         437    0.823182     0.77341   0.0129914
         438     0.82471    0.773527   0.0129623
         439    0.826203    0.773647   0.0129333
         440    0.827661     0.77377   0.0129045
         441    0.829082    0.773895   0.0128759
         442    0.830465    0.774023   0.0128474
         443    0.831808    0.774153    0.012819
         444     0.83311    0.774286   0.0127909
         445     0.83437    0.774421   0.0127628
         446    0.835587    0.774558    0.012735
         447     0.83676    0.774698   0.0127072
         448     0.83789    0.774839   0.0126796
         449    0.838975    0.774981   0.0126522
         450    0.840015    0.775126   0.0126249
         451    0.841009    0.775272   0.0125978
         452    0.841956     0.77542   0.0125708
         453    0.842855    0.775568   0.0125439
         454    0.843706    0.775719   0.0125172
         455     0.84451     0.77587   0.0124906
         456    0.845266    0.776022   0.0124641
         457    0.845974    0.776175   0.0124378
         458    0.846633    0.776329   0.0124116
         459    0.847244    0.776483   0.0123855
         460    0.847806    0.776638   0.0123595
         461    0.848319    0.776794   0.0123337
         462    0.848784     0.77695    0.012308
         463    0.849201    0.777106   0.0122824
         464     0.84957    0.777262   0.0122569
         465     0.84989    0.777418   0.0122315
         466     0.85016    0.777574   0.0122063
         467    0.850382     0.77773   0.0121812
         468    0.850554    0.777886   0.0121561
