#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         419    -5.42789    -5.59463  0.00955725
         420    -5.42829    -5.59424   0.0095427
         421    -5.39022    -5.59375  0.00953233
         422    -5.38516    -5.59326  0.00952255
         423    -5.38925    -5.59278  0.00951224
         424    -5.43733    -5.59241  0.00949687
         425    -5.41578    -5.59199  0.00948361
         426     -5.5042    -5.59179  0.00946359
         427    -5.40809    -5.59136   0.0094512
         428    -5.47905    -5.59109  0.00943276
         429    -5.47096    -5.59081  0.00941492
         430     -5.5164    -5.59064  0.00939462
         431    -5.54975    -5.59055   0.0093733
         432     -5.3988     -5.5901  0.00936211
         433    -5.43753    -5.58975  0.00934711
         434    -5.35489    -5.58921  0.00934123
         435    -5.37755    -5.58872  0.00933242
         436    -5.40813    -5.58831   0.0093202
         437    -5.42823    -5.58794  0.00930607
         438    -5.54593    -5.58785  0.00928532
         439     -5.5316    -5.58772  0.00926505
         440    -5.53582     -5.5876  0.00924474
         441    -5.46597    -5.58732  0.00922789
         442     -5.4819    -5.58709   0.0092101
         443    -5.54587    -5.58699  0.00918978
         444    -5.63712    -5.58711  0.00916977
         445    -5.69813    -5.58735  0.00915256
         446    -5.62948    -5.58745  0.00913253
         447    -5.60146    -5.58748  0.00911215
         448    -5.50721     -5.5873  0.00909357
         449    -5.56018    -5.58724  0.00907352
         450    -5.44247    -5.58692  0.00905906
         451    -5.45488    -5.58663   0.0090437
         452    -5.52983     -5.5865  0.00902457
         453    -5.53253    -5.58638  0.00900543
         454    -5.57028    -5.58635  0.00898566
         455    -5.59856    -5.58637  0.00896596
         456    -5.53712    -5.58627  0.00894694
         457    -5.58824    -5.58627  0.00892737
         458     -5.5129    -5.58611  0.00890931
         459    -5.50956    -5.58594  0.00889146
         460    -5.53972    -5.58584   0.0088727
         461     -5.5395    -5.58574  0.00885402
         462    -5.44834    -5.58544  0.00883985
         463    -5.41528    -5.58508   0.0088284
         464    -5.44284    -5.58477  0.00881469
         465    -5.51168    -5.58461  0.00879714
         466     -5.4708    -5.58437  0.00878165
         467     -5.4902    -5.58417  0.00876516
         468    -5.55059     -5.5841  0.00874672
         469    -5.53229    -5.58398  0.00872877
         470    -5.46092    -5.58372  0.00871413
         471    -5.42659    -5.58339  0.00870201
         472    -5.36205    -5.58292   0.0086962
         473     -5.2632    -5.58224  0.00870404
         474    -5.44911    -5.58196  0.00869021
         475    -5.52027    -5.58183  0.00867289
         476    -5.44002    -5.58154  0.00865978
         477    -5.44801    -5.58126  0.00864615
         478    -5.42887    -5.58094  0.00863394
         479    -5.33729    -5.58043  0.00863088
         480    -5.36284    -5.57997   0.0086248
         481    -5.28456    -5.57936  0.00862871
         482    -5.28806    -5.57876  0.00863194
         483    -5.33518    -5.57825  0.00862879
         484    -5.29601    -5.57767  0.00863064
         485    -5.39263    -5.57729  0.00862128
         486    -5.46879    -5.57706  0.00860643
         487    -5.43734    -5.57678  0.00859354
         488    -5.49904    -5.57662   0.0085774
         489    -5.50227    -5.57647  0.00856121
         490    -5.49088    -5.57629  0.00854552
         491    -5.47572    -5.57609  0.00853057
         492    -5.53255      -5.576  0.00851369
         493    -5.49407    -5.57583  0.00849804
         494    -5.43814    -5.57555  0.00848541
         495    -5.46448    -5.57533  0.00847123
         496    -5.46715    -5.57511  0.00845696
         497    -5.47356    -5.57491  0.00844241
         498    -5.39563    -5.57455  0.00843313
         499    -5.47319    -5.57434  0.00841868
         500    -5.48803    -5.57417  0.00840361
         501    -5.45241    -5.57393  0.00839035
         502    -5.48081    -5.57374  0.00837569
         503    -5.47681    -5.57355  0.00836125
         504    -5.48788    -5.57338  0.00834639
         505    -5.39934    -5.57303  0.00833698
         506    -5.48676    -5.57286  0.00832224
         507    -5.43484    -5.57259  0.00831028
         508    -5.45329    -5.57236  0.00829724
         509    -5.33127    -5.57188  0.00829445
         510    -5.38503    -5.57152  0.00828627
         511    -5.49984    -5.57138  0.00827124
         512    -5.40664    -5.57106  0.00826134
         513    -5.42047    -5.57076  0.00825045
         514    -5.55066    -5.57072  0.00823449
         515     -5.5202    -5.57062  0.00821909
         516    -5.52575    -5.57054  0.00820362
         517     -5.5391    -5.57048  0.00818798
         518    -5.47234    -5.57029  0.00817436
         519    -5.51475    -5.57018  0.00815931
         520    -5.51164    -5.57007   0.0081444
         521    -5.45795    -5.56985  0.00813161
         522     -5.4287    -5.56958  0.00812052
         523    -5.37035     -5.5692  0.00811393
         524    -5.41906    -5.56891   0.0081035
         525    -5.41084    -5.56861  0.00809366
         526    -5.37854    -5.56825  0.00808633
         527    -5.34463    -5.56783  0.00808211
         528    -5.36219    -5.56744  0.00807619
         529    -5.31811    -5.56697  0.00807466
         530    -5.40046    -5.56665  0.00806553
         531      -5.384    -5.56631  0.00805768
         532    -5.48148    -5.56615  0.00804411
         533    -5.42189    -5.56588  0.00803357
         534    -5.51189    -5.56578  0.00801916
         535    -5.53321    -5.56572   0.0080044
         536    -5.44907     -5.5655  0.00799243
         537    -5.44728    -5.56528  0.00798057
         538    -5.44573    -5.56506  0.00796883
         539    -5.33821    -5.56464  0.00796515
         540    -5.21717    -5.56399  0.00797635
         541     -5.1981    -5.56332  0.00799023
         542    -5.22873     -5.5627   0.0079993
         543     -5.2436    -5.56211  0.00800612
         544     -5.2935    -5.56162  0.00800662
         545    -5.22274      -5.561  0.00801604
         546    -5.30805    -5.56053  0.00801473
         547     -5.3614    -5.56017  0.00800834
         548    -5.48636    -5.56003  0.00799486
         549     -5.4448    -5.55982  0.00798305
         550    -5.43159    -5.55959  0.00797194
         551    -5.47551    -5.55944  0.00795893
         552    -5.54091     -5.5594  0.00794459
         553    -5.41035    -5.55913  0.00793479
         554    -5.40105    -5.55885   0.0079256
         555    -5.40302    -5.55857  0.00791629
         556    -5.44574    -5.55837  0.00790465
         557    -5.40466    -5.55809  0.00789528
         558    -5.36189    -5.55774  0.00788895
         559    -5.33874    -5.55735  0.00788456
         560    -5.38762    -5.55704   0.0078763
         561    -5.32814    -5.55664  0.00787283
         562    -5.38341    -5.55633  0.00786485
         563    -5.38069    -5.55602  0.00785706
         564    -5.34543    -5.55564    0.007852
         565    -5.39026    -5.55535  0.00784356
         566    -5.28806    -5.55488   0.0078439
         567    -5.31571    -5.55445   0.0078414
         568     -5.2756    -5.55396  0.00784295
         569    -5.35872    -5.55362  0.00783667
         570    -5.41936    -5.55339  0.00782646
         571     -5.3942    -5.55311  0.00781772
         572    -5.32773    -5.55271  0.00781397
         573    -5.39871    -5.55244  0.00780495
         574    -5.45666    -5.55228  0.00779314
         575    -5.38398    -5.55198  0.00778508
         576    -5.40022    -5.55172  0.00777602
         577    -5.44904    -5.55154  0.00776458
         578    -5.36777    -5.55122  0.00775766
         579     -5.3478    -5.55087  0.00775221
         580    -5.47516    -5.55074  0.00773994
         581    -5.56418    -5.55077  0.00772666
         582    -5.49641    -5.55067  0.00771394
         583    -5.43852    -5.55048  0.00770311
         584    -5.49372    -5.55038  0.00769053
         585    -5.41473    -5.55015  0.00768088
         586    -5.43576    -5.54996  0.00767026
         587    -5.42689    -5.54975  0.00766005
         588    -5.42474    -5.54953  0.00764998
         589    -5.45948    -5.54938  0.00763852
         590    -5.44423     -5.5492  0.00762765
         591    -5.46208    -5.54906  0.00761617
         592    -5.49329    -5.54896  0.00760388
         593    -5.44754    -5.54879  0.00759298
         594    -5.41176    -5.54856   0.0075837
         595    -5.41841    -5.54834  0.00757411
         596    -5.38677    -5.54807  0.00756625
         597    -5.42581    -5.54786  0.00755635
         598     -5.4887    -5.54777  0.00754436
         599    -5.47338    -5.54764  0.00753279
         600    -5.50546    -5.54757  0.00752056
         601    -5.51252    -5.54751  0.00750828
         602    -5.45518    -5.54736  0.00749737
         603    -5.46598    -5.54722  0.00748615
         604     -5.4313    -5.54703  0.00747622
         605    -5.49053    -5.54694  0.00746444
         606    -5.44132    -5.54677  0.00745416
         607    -5.37842    -5.54649  0.00744704
         608    -5.37096     -5.5462  0.00744038
         609    -5.40508    -5.54597  0.00743177
         610    -5.40496    -5.54574  0.00742318
         611    -5.47155    -5.54561  0.00741203
         612    -5.43386    -5.54543  0.00740217
         613    -5.50223    -5.54536  0.00739043
         614    -5.47566    -5.54525  0.00737926
         615    -5.55872    -5.54527  0.00736729
         616    -5.56032    -5.54529  0.00735538
