# generation:     mean_loss:           best_loss:
467                  77.8663                  77.8047
468                  77.8047                  77.8047
469                  77.8047                  77.8047
470                  77.8047                  77.8047
471                  77.8047                  77.8047
472                  77.8047                  77.8047
473                  77.8047                  77.8047
474                  77.8047                  77.8047
475                  77.8046                  77.7635
476                  77.7853                  77.7635
477                  77.7635                  77.7635
478                  77.7635                  77.7635
479                  77.7635                  77.7635
480                  77.7635                  77.7635
481                  77.7635                  77.7635
482                  77.9599                  77.7635
483                  77.7635                  77.7635
484                  77.7635                  77.7635
485                  77.7635                  77.7635
486                  77.7635                  77.7635
487                  77.7635                  77.7635
488                  77.7635                  77.7635
489                  77.7635                  77.7635
490                  77.7635                  77.7635
491                  77.7624                  77.1826
492                  77.5087                  76.4809
493                   76.865                  76.0954
494                  76.2783                  76.0954
495                  76.0954                  76.0954
496                  76.0954                  76.0954
497                  76.0954                  76.0954
498                  76.0954                  76.0954
499                  76.0954                  76.0954
500                  76.0954                  76.0954
501                  76.0954                  76.0954
502                  76.0954                  76.0954
503                  76.0954                  76.0954
504                  76.0954                  76.0954
505                  76.0954                  76.0954
506                  76.0954                  76.0954
507                  76.0954                  76.0954
508                  76.0954                  76.0954
509                  76.0954                  76.0954
510                  76.0954                  76.0954
511                  76.0954                  76.0954
512                  76.0954                  76.0954
513                  76.0954                  76.0954
514                  76.0954                  76.0954
515                  76.0954                  76.0954
516                  76.0954                  76.0954
517                  76.0954                  76.0954
518                  76.0954                  76.0954
519                  76.0954                  76.0954
520                  76.0954                  76.0954
521                  76.0954                  76.0954
522                  76.0954                  76.0954
523                  76.0954                  76.0954
524                  76.0954                  76.0954
525                  76.0954                  76.0954
526                  76.0954                  76.0954
527                  76.0954                  76.0954
528                  76.0954                  76.0954
529                  76.0954                  76.0954
530                  76.0954                  76.0954
531                  76.0954                  76.0954
532                  76.0954                  76.0954
533                  76.0954                  76.0954
534                  76.0954                  76.0954
535                  76.0954                  76.0954
536                  76.0954                  76.0954
537                  76.0954                  76.0954
538                  76.0954                  76.0954
539                  76.0954                  76.0954
540                  76.0954                  76.0954
541                  76.0954                  76.0954
542                  76.0954                  76.0954
543                  76.0954                  76.0954
544                  76.0954                  76.0954
545                  76.0954                  76.0954
546                  76.0954                  76.0954
547                   76.095                   75.936
548                  76.0211                   75.936
549                   75.936                   75.936
550                   75.936                   75.936
551                   75.936                   75.936
552                   75.936                   75.936
553                   75.936                   75.936
554                   75.936                   75.936
555                   75.936                   75.936
556                   75.936                   75.936
557                   75.936                   75.936
558                   75.936                   75.936
559                   75.936                  75.9254
560                   75.931                  75.9254
561                  75.9254                  75.9254
562                  75.9254                  75.9254
563                  75.9254                  75.9254
564                  75.9254                  75.9254
565                  75.9254                  75.9254
566                  75.9254                  75.9254
567                  75.9254                  75.9254
568                  75.9254                  75.9254
569                  75.9254                  75.9254
570                  75.9249                   75.674
571                  75.8118                   75.674
572                   76.088                   75.674
573                   75.674                   75.674
574                   75.674                   75.674
575                   75.674                   75.674
576                   75.674                   75.674
577                   75.674                   75.674
578                   75.674                   75.674
579                   75.674                   75.674
580                   75.674                   75.674
581                   75.674                   75.674
582                   75.674                   75.674
583                   75.674                   75.674
584                   75.674                   75.674
